jugador,posicion,seleccion,edad,anio_nacimiento,partidos_jugados,minutos,minutos_por_partido,pct_minutos_equipo,partidos_90,titularidades,minutos_por_titularidad,partidos_completos,apariciones_suplente,minutos_por_sustitucion,suplente_no_utilizado,puntos_por_partido,goles_favor_en_cancha,goles_contra_en_cancha,diferencial,diferencial_por90,diferencial_neto_con_sin,id_jugador,club,goles,asistencias,goles_mas_asistencias,goles_sin_penal,penales_anotados,penales_intentados,tarjetas_amarillas,tarjetas_rojas,goles_por90,asistencias_por90,goles_asist_por90,goles_sin_penal_por90,goles_asist_sin_penal_por90,disparos,disparos_arco,pct_disparos_arco,disparos_por90,disparos_arco_por90,goles_por_disparo,goles_por_disparo_arco,doble_amarilla,faltas_cometidas,faltas_recibidas,offsides,centros,intercepciones,entradas_ganadas,penales_ganados,penales_concedidos,autogoles,goles_recibidos,goles_recibidos_por90,disparos_arco_recibidos,atajadas,pct_atajadas,victorias_portero,empates_portero,derrotas_portero,arco_en_cero,pct_arco_en_cero,penales_enfrentados_portero,penales_recibidos_portero,penales_atajados,penales_fallados_rival,pct_atajadas_penales
Marko Arnautović,FW,Austria,37,1989,4,144.0,36.0,40.0,1.6,1,45.0,0,3,33.0,0,1.0,3.0,5.0,-2.0,-1.25,-0.83,00459419,Red Star,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.25,0.0,1.25,0.62,0.62,3.0,3.0,100.0,1.87,1.87,0.33,0.33,0.0,3.0,1.0,5.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Adem Arous,DF,Tunisia,21,2004,0,,,,,0,,0,0,,2,,,,,,,9fce7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giorgian de Arrascaeta,FWMF,Uruguay,32,1994,0,,,,,0,,0,0,,1,,,,,,,be8d02dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Asare,GK,Ghana,33,1992,3,225.0,75.0,62.5,2.5,2,90.0,2,1,45.0,1,1.33,2.0,2.0,0.0,0.0,0.67,4bb65492,Accra Hearts of Oak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.8,10.0,8.0,80.0,0.0,1.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0,
Emam Ashour,MF,Egypt,28,1998,5,362.0,72.0,75.4,4.0,5,72.0,1,0,,0,1.2,7.0,4.0,3.0,0.75,2.27,31b7d437,Al Ahly,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,10.0,2.0,20.0,2.49,0.5,0.2,1.0,0.0,2.0,13.0,0.0,4.0,4.0,2.0,,,0.0,,,,,,,,,,,,,,,
Rustam Ashurmatov,DF,Uzbekistan,29,1996,3,256.0,85.0,94.8,2.8,3,85.0,2,0,,0,0.0,2.0,10.0,-8.0,-2.81,3.62,a0ecd397,Esteghlal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,7.0,2.0,,,0.0,,,,,,,,,,,,,,,
Lawrence Ati-Zigi,GK,Ghana,29,1996,2,135.0,68.0,37.5,1.5,2,68.0,1,0,,2,1.5,0.0,1.0,-1.0,-0.67,-0.67,a12402c3,St. Gallen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.67,9.0,8.0,88.9,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,
Marwan Attia,MF,Egypt,27,1998,5,434.0,87.0,90.4,4.8,4,97.0,3,1,45.0,0,1.2,7.0,6.0,1.0,0.21,0.21,1ea3d7ec,Al Ahly,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.21,0.21,0.0,0.21,4.0,0.0,0.0,0.83,0.0,0.0,,0.0,8.0,1.0,0.0,11.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,
Fredrik Aursnes,MFDF,Norway,30,1995,6,304.0,51.0,53.3,3.4,3,69.0,1,3,32.0,0,2.0,7.0,7.0,0.0,0.0,-0.68,f0677ed7,Benfica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.59,0.0,0.0,,0.0,5.0,3.0,0.0,5.0,1.0,8.0,,,0.0,,,,,,,,,,,,,,,
Gabriel Ávalos,FW,Paraguay,35,1990,4,141.0,35.0,29.4,1.6,2,60.0,0,2,11.0,1,1.25,1.0,1.0,0.0,0.0,0.8,b6781b67,Independiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.64,0.0,0.0,,0.0,1.0,2.0,0.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,
